,,,,,,,,,,,,,
,管理ID,区分,重要度,起票日,ステータス,ボール保持者,件名,詳細内容 / 質問,開発回答 / 状況,顧客確認 / 回答,期限,完了日,備考
,No.1,提案,中,2026-07-08,未着手,開発,報告書差し戻し機能実装,No.2の回答受領後に検討。,,,,,
,No.2,Q&A,中,2026-07-08,確認中（顧客）,顧客,報告書差し戻し機能実装,報告書の差し戻しについて、現在どのような報告書/報告内容に対して、どのような問題がある場合、差戻しが発生するのでしょうか。,,,,,
,No.3,課題,高,2026-07-08,未着手,開発,"S-01: ログイン画面
・パスワードを忘れた場合の挙動とボタン",No.4の回答受領後に検討。,,,,,
,No.4,Q&A,高,2026/07/08,確認中（顧客）,顧客,ログインにおけるパスワード忘れ対策について,"アカウントによるログイン機能の実装を考えておりますが、パスワード忘れが発生した場合、対処方法の希望はありますでしょうか。
例①：パスワード変更のために、作業者がパスワード再発行メールを、入力したメールアドレスに送付する。
例②：パスワード変更機能は作業者に開示せず、パスワードの管理は管理者側で行い、パスワードの連絡/変更は管理者が行う。",,,,,
,No.5,課題,高,2026/07/08,未着手,開発,W-01: 打刻画面,No.6の回答受領後に検討。,,,,,
,No.6,Q&A,高,2026/07/08,確認中（顧客）,顧客,打刻の方法について,"打刻を〇時〇分〇秒で行う場合、給与計算における時給換算に影響が発生しうると考えております。
(例：早めに出勤ボタンを押す。遅めに退勤ボタンを押した場合に、足の出た〇分の合算で1時間分切り上げ状態になる等)→管理者側の運用に無駄な手間が生じる。
上記を踏まえ、現場開始/現場終了ボタンによる作業時間の計測は実装するとして、出退勤の各ボタンに代わり合計稼働時間をパターン化して選択式にできるか検討したいと考えております。
(例：現在の合計稼働時間における計測が、フル出勤（8:00~17:30の1.5h休憩）、午前出勤、午後出勤のような形であれば、パターン化が可能)",,,,,
,No.7,課題,高,2026/07/08,未着手,開発,W-02: 現場選択画面,"No.8の回答受領後に検討。
現場の鍵の受け取り方を備考に書きたい。",,,,,
,No.8,Q&A,高,2026/07/08,確認中（顧客）,顧客,作業員の現場入りについて,"現場まではどのように移動しており、現場入りする際には、物件の鍵をどのように受け取っているのでしょうか。
→出勤からの流れは、まず事務所に集まってから現場に向かうとのことでしたが、日本語住所は自分たちで対処することができ、最寄り駅まで向かいマップアプリに住所を入力して向かっているのか。
→ツールの現場入りボタンを押す際の、現場(物件)選択機能の実装を考えておりますが、もし朝ミで鍵の受け取り手順を説明している場合、その情報を現場の情報として備考欄に記載できる形が取れないか検討しております。",,,,,
,No.9,検討,低,2026/07/08,未着手,開発,W-02: 現場選択画面,万が一、現場選択画面に現場(物件)情報が登録されていないときに、スキップできるようにする。,,,,,
,No.10,検討,低,2026/07/08,未着手,開発,W-02: 現場選択画面,事務所で現場選択してから移動？,,,,,
,No.11,検討,中,2026/07/08,未着手,開発,W-02: 現場選択画面,"現場一覧から現場の選択をする場合、現場情報の増加に伴い、選択肢が増え続け選択が大変になる。
→日付情報と紐づけて現場選択の一覧(ハイライト)を出すのはどうか",,,,,
,No.12,課題,低,2026/07/08,未着手,開発,W-03: 作業報告画面,「作業時間」の表示は不要,,,,,
,No.13,課題,中,2026/07/08,未着手,開発,W-03: 作業報告画面,担当箇所は添付ファイルにある,,,,,
,No.14,課題,中,2026/07/08,未着手,開発,W-03: 作業報告画面,担当箇所は管理者側が拡張できるようにする,,,,,
,No.15,課題,中,2026/07/08,未着手,開発,W-03: 作業報告画面,写真一枚一枚に対してのコメント(それと別で備考はあっても良い),,,,,
,No.16,課題,中,2026/07/08,未着手,開発,W-04: 勤務履歴画面,時間を入れると時給計算の時間とずれるかも,,,,,
,No.17,課題,中,2026/07/08,未着手,開発,A-02: 勤務実績画面,「日」「週」「月」は月だけでいいのでは？,,,,,
,No.18,課題,中,2026/07/08,未着手,開発,A-04: 現場管理画面,日付で紐づけるので、カレンダー機能が必要,,,,,
,No.19,課題,中,2026/07/08,未着手,開発,A-05: 割り振り画面,ここで割り振ったのであれば、W-03作業報告画面の現場は自動入力か、W-02の現場選択画面でハイライトで強調するなど紐づける。,,,,,
,No.20,Q&A,中,2026/07/08,確認中（顧客）,顧客,一日の流れを確認したい,"朝ミから始まり、退勤するまでの流れをお聞きしたいです。
→現在の運用方法/作業フローをできるだけ崩さず、ツールに実装することで管理の手間を軽減させたい。
　ex. 朝ミ(事務所)->現場移動->管理者へ開始の連絡->作業開始->作業完了後、完了した旨を報告し承認待ち->承認を受けたら次現場へ移動->以下同じ流れを実施し、最終的に退勤の連絡(電話？)",,,,,
,No.21,Q&A,中,2026/07/08,確認中（顧客）,顧客,手当てと交通費について,手当てと交通費について、人によっては支給するようなお話がありましたが、入力するような箇所は必要でしょうか。,,,,,
,No.22,Q&A,中,2026/07/08,確認中（顧客）,顧客,時給計算について,excelで時給を計算するか、ツールの管理画面側にも出力するのか機能実装における希望をお聞きしたいです。,,,,,
,No.23,Q&A,中,2026/07/08,確認中（顧客）,顧客,現状のカレンダー管理方法について,"カレンダーアプリで何をどのように管理しているのかを確認したい
→現在の運用方法/作業フローをできるだけ崩さず、ツールに実装することで管理の手間を軽減させたい。",,,,,
,No.24,Q&A,中,2026/07/08,確認中（顧客）,顧客,今回のツールにより実現できる収集データによる人事考課の指標追加について,"既存の人事考課評価基準に加え、新たな人事評価の指標を加えられないか？
(この人が担当していると作業の質や時間効率が良い、現場移動の実態が掴みにくい等のお話をいただいたため)
【提案アイデア】
・作業報告自体の質が良いかどうかという指標を管理側が簡単にランク付けでき、月末時/人事考課/体制変更時にデータとして確認できる→[人材育成/体制構築の補助]報告自体も評価の対象とすることで、モチベーションアップや責任感の自覚、成長への意欲を促す
・担当箇所による難易度×成果の質×時間による指標を組み合わせることで、相対的な評価を実現",,,,,
,No.25,,,,,,,,,,,,
,No.26,,,,,,,,,,,,
,No.27,,,,,,,,,,,,
,No.28,,,,,,,,,,,,
,No.29,,,,,,,,,,,,
,No.30,,,,,,,,,,,,
,No.31,,,,,,,,,,,,
,No.32,,,,,,,,,,,,
,No.33,,,,,,,,,,,,
,No.34,,,,,,,,,,,,
,No.35,,,,,,,,,,,,
,No.36,,,,,,,,,,,,
,No.37,,,,,,,,,,,,
,No.38,,,,,,,,,,,,
,No.39,,,,,,,,,,,,
,No.40,,,,,,,,,,,,
,No.41,,,,,,,,,,,,
,No.42,,,,,,,,,,,,
,No.43,,,,,,,,,,,,
,No.44,,,,,,,,,,,,
,No.45,,,,,,,,,,,,
,No.46,,,,,,,,,,,,
,No.47,,,,,,,,,,,,
,No.48,,,,,,,,,,,,
,No.49,,,,,,,,,,,,
,No.50,,,,,,,,,,,,
